"소속회사명","phi","slack","sx1","sx2","sx3","sy1","sy2","sy3","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20","L21","L22","L23","L24","L25","L26","L27","L28","L29"
"(주)글라인","1.03840994243798","TRUE","6280.67146974035","0","49.025936599437","1424.07083428398","1078.49658217397","0","0","0","0","0","0","0","0","0","0.086455331412611","0.913544668587233","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)모아엘앤비인터내셔널","1.0522260789335","TRUE","0","734.168699195594","130.756097560041","1098.47885158369","1408.78069415926","0","0","0","0","0","0","0","0","0","0","0.756775067776373","0","0","0","0","0","0","0","0","0","0.243224932223627","0","0","0","0","0","0","0","0","0"
"(주)비글","1","FALSE","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)스튜디오리얼라이브","1","FALSE","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)스튜디오원픽","1.01707788413345","TRUE","1167.55907780953","0","21.2190201729237","635.418029592888","482.041552195118","0","0","0","0","0","0","0","0","0","0.0634005763693676","0.936599423630463","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)에스엠스튜디오스","1.75054165684109","TRUE","0","0","13570.5921048537","5171.23201563692","0","3023.68921001713","0","0","0","0","0","0","0","0","0","0","0","0","0.310141876739513","0","0","0","0","0","0.0587806181275406","0.631077505139696","0","0","0","0","0","0","0","0","0"
"(주)에스엠유니버스","1.06642113577006","TRUE","0","1301.39207648807","9.13461455048451","1165.84746595866","1983.82651630115","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000278225755503863","0.999721774906845","0","0","0","0","0","0","0","0","0"
"(주)에스엠컬처파트너스","1.0100114810187","TRUE","30794.9285534617","0","0","91.7852579797381","0","558.794653254115","0","0","0","0","0","0","0","0","0","0.210985324949822","0","0","0","0","0","0","0","0","0","0.25719077567989","0","0","0.531823899370373","0","0","0","0","0","0"
"(주)에스엠타운플래너","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)엔크로키","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)영화사 집","1.02041031447969","TRUE","0","629.754064985004","3.51219512750734","160.992838087144","625.749920817506","0","0","0","0","0","0","0","0","0","0","0.374661246457988","0","0","0","0","0","0","0","0","0","0.625338753542011","0","0","0","0","0","0","0","0","0"
"(주)온마인드","1.07559847660501","TRUE","341.999999999646","2261.00000000026","0","567.244015234135","2277.66031012073","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"(주)인타임","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)전국화물마당","1.08894346689869","TRUE","0","1377.15040651656","170.951219510868","1728.38709534825","2440.15142600028","0","0","0","0","0","0","0","0","0","0","0.779132791364523","0","0","0","0","0","0","0","0","0","0.220867208635477","0","0","0","0","0","0","0","0","0"
"(주)진화","1.02081875751005","TRUE","357.213167044221","811.243112309224","0","0","654.394593218165","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0462133154076413","0","0","0","0","0","0.000948670349351917","0.952838014389318","0","0","0","0","0","0","0","0","0"
"(주)카카오스페이스","1.33965702256584","TRUE","0","5001.62647826289","1855.15840323254","3348.94048549813","7163.46566988391","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0381572180765512","0.961842782596317","0","0","0","0","0","0","0","0","0"
"(주)카카오인베스트먼트","6.27047716028125","TRUE","0","467.692533465125","2747.45806616125","24577.6149321691","0","40181.6996481687","0","0","0","0","0","0","0","0","0","0","0","0","0.412388584748088","0","0","0","0","0","0.587611415250915","0","0","0","0","0","0","0","0","0","0"
"(주)컬러버스","1.37685841177287","TRUE","0","9185.75425534551","338.833226500414","1253.13210397682","10667.6394152574","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000570134745274704","0.999429865916833","0","0","0","0","0","0","0","0","0"
"(주)케이큐브홀딩스","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"(주)코드독","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"(주)크리에이션뮤직라이츠","1.06986486037128","TRUE","0","461.373134330719","182.861583482303","1946.38692587249","1841.43550202272","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00577888578149469","0.994221114882449","0","0","0","0","0","0","0","0","0"
"(주)티제이파트너스","1.01483403279741","TRUE","0","0","20514.7835924881","140.448622527029","0","20337.0049801547","0","0","0","0","0","0","0","0","0","0.118270206295649","0","0","0","0","0","0","0","0","0.00133692752585406","0","0","0","0.880392866178497","0","0","0","0","0","0"
"(주)파이디지털헬스케어","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"(주)피트니스캔디","1.17151751686324","TRUE","0","3557.38414631196","495.902439027305","1823.29525945282","4486.73010787481","0","0","0","0","0","0","0","0","0","0","0.530487804796897","0","0","0","0","0","0","0","0","0","0.469512195203102","0","0","0","0","0","0","0","0","0"
"(주)픽셀허브","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"(주)하늘을담다","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"로고스필름(주)","1.05715369613138","TRUE","2086.28243213655","0","0","1282.9776538963","780.310896413063","0","0","0","0","0","0","0","0","0","0","0.206652690662364","0","0","0","0","0","0","0","0","0","0.646848357643193","0","0","0.146498951693946","0","0","0","0","0","0"
"크로스픽쳐스(주)","1.06762026496115","TRUE","0","853.812639218587","1450.89542856278","0","512.330301165405","0","0","0","0","0","0","0","0","0","0","0.292539036436482","0","0","0.55225894673023","0","0","0","0","0","0","0.155202016833288","0","0","0","0","0","0","0","0","0"
"프리티비지(주)","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
